id,gpsnanotime,hdSpectrumEye,hdCalibEye,hdXmaxEye,theta,dtheta,phi,dphi,l,b,ra,dec,totalEnergy,dtotalEnergy,calEnergy,dcalEnergy,xmax,dxmax,heightXmax,distXmax,dEdXmax,ddEdXmax,x,dx,y,dy,z,easting,northing,altitude,cherenkovFraction,minViewAngle,uspL,duspL,uspR,duspR,hottestStationId,distSdpStation,distAxisStation,particle_type
1,652310087,0,0,1,37.5,0.55,153.28,0.75,306.36,49.11,195.17,-13.7,0.823,0.058,0.691,0.046,659.94,13.35,5555.62,12921.46,1.22,0.04,-23217.83,54.38,-19412.47,71.78,-66.73,454098.69,6079745.93,1409.72,0.17,26.91,223.92,8.74,0.28,0.05,401,821.4,1009.51,iron
1,17467746,1,0,1,46.54,0.58,63.36,0.43,34.7,12.97,272.04,7.42,3.939,0.279,3.399,0.237,744.42,17.27,5715.83,18315.12,5.83,0.16,-3270.69,53.38,-25833.79,76.75,-75.6,474052.45,6073375.94,1376.19,0.13,34.39,231.97,7.0,0.19,0.05,349,194.97,546.05,iron
4,537705422,1,1,1,47.39,0.27,266.71,0.45,296.16,-22.19,140.2,-82.11,3.723,0.244,3.211,0.206,734.73,10.64,5941.55,12265.68,5.32,0.09,-23671.05,35.16,11505.63,31.83,68.22,453571.53,6110644.01,1521.24,0.12,32.22,239.6,5.92,0.26,0.05,653,376.39,421.99,iron
2,483802232,0,0,1,46.41,0.6,263.71,0.9,300.0,-17.9,175.93,-80.38,0.984,0.074,0.829,0.061,657.5,21.77,6635.79,14016.79,1.43,0.05,10008.16,44.18,-3569.03,109.64,-30.54,487267.64,6095661.9,1378.43,0.07,45.34,229.39,9.97,0.27,0.05,679,57.7,116.18,iron
4,381656360,1,1,1,34.76,0.36,155.82,0.58,326.18,43.25,210.31,-16.45,2.876,0.206,2.48,0.175,689.12,10.64,4968.53,12854.46,4.44,0.1,-29846.4,42.55,1625.09,24.92,60.46,447422.97,6100753.43,1533.12,0.06,72.65,221.7,8.26,0.26,0.05,939,452.21,484.36,iron
4,701706091,0,0,1,51.35,0.83,60.73,1.38,44.52,2.63,285.82,11.51,1.615,0.12,1.376,0.101,923.32,25.14,4811.45,19247.78,2.46,0.11,-21178.64,125.15,25495.36,124.8,8.09,456026.73,6124629.32,1493.57,0.21,24.91,221.47,10.08,0.27,0.05,1032,113.24,218.28,proton
4,593682848,1,0,1,27.55,0.41,75.75,0.64,24.05,-0.77,279.48,-8.25,1.106,0.085,0.937,0.071,809.93,13.96,3087.17,7999.69,1.64,0.04,-24231.86,26.83,13684.63,21.72,78.27,453005.25,6112817.51,1536.26,0.07,54.59,227.33,10.09,0.26,0.05,635,78.13,649.63,proton
2,379454217,0,0,1,15.88,0.44,232.12,1.68,349.71,-20.96,285.11,-47.08,0.744,0.054,0.625,0.044,719.61,14.24,3383.37,7527.71,1.08,0.03,15972.72,34.58,-8294.48,26.44,-55.33,493240.32,6090954.32,1370.95,0.1,45.71,228.6,10.29,0.26,0.05,1173,413.24,422.01,iron
4,246261350,1,0,1,41.94,0.48,63.36,0.71,18.4,32.83,247.43,3.42,1.454,0.107,1.238,0.089,621.18,17.19,6508.48,12181.41,2.24,0.06,-23571.58,55.17,6691.45,56.7,42.78,453682.58,6105831.2,1489.15,0.07,60.38,218.86,10.48,0.24,0.05,588,577.02,785.76,iron
4,632311571,0,0,1,50.3,0.89,22.97,1.7,43.8,-34.64,318.37,-6.96,1.484,0.119,1.262,0.1,687.81,20.06,6862.78,23717.5,2.22,0.12,-16220.96,214.48,20701.43,174.2,22.85,460993.06,6119851.24,1476.48,0.19,21.61,225.68,9.51,0.25,0.05,935,474.09,692.65,iron
4,540362303,0,0,1,62.94,0.26,290.8,1.18,286.85,-41.47,51.35,-70.52,2.018,0.138,1.72,0.115,734.17,20.92,8761.44,17912.2,2.99,0.08,-22635.34,75.29,20047.52,133.24,63.89,454585.56,6119180.8,1536.18,0.09,22.83,228.19,6.57,0.27,0.04,690,22.07,210.79,iron
2,588060472,1,0,1,23.98,0.5,149.81,0.72,344.33,29.23,231.06,-21.09,1.095,0.08,0.928,0.066,704.36,13.41,3989.42,10202.18,1.67,0.05,26393.4,31.6,3853.92,29.71,-100.42,503623.73,6103121.95,1356.63,0.08,56.68,220.89,9.77,0.26,0.05,677,13.86,495.87,iron
2,667649159,0,0,1,38.94,0.67,147.54,0.75,20.27,2.78,274.51,-9.95,0.729,0.055,0.61,0.044,660.69,19.92,5732.51,13185.12,1.09,0.05,20168.78,61.38,5042.03,57.21,-68.75,497400.63,6104293.21,1364.76,0.13,31.48,222.84,10.82,0.27,0.06,750,149.94,510.54,iron
2,52420735,0,0,1,50.48,0.16,279.16,0.96,305.52,-35.38,358.54,-81.46,6.908,0.556,5.976,0.478,710.75,11.45,6721.85,20847.47,10.64,0.32,19032.48,133.06,21800.1,45.39,-99.47,496222.01,6121042.77,1362.49,0.06,111.17,222.93,9.18,0.26,0.05,1511,653.11,762.45,iron
4,724148076,0,0,1,36.63,0.68,30.19,0.81,49.15,-53.4,336.94,-12.59,1.004,0.077,0.848,0.063,682.44,18.03,5274.22,14135.94,1.49,0.07,-27553.83,77.86,1720.59,43.22,39.93,449715.09,6100853.63,1498.92,0.06,61.05,225.43,9.36,0.25,0.05,1071,140.92,140.93,iron
2,997300333,1,1,1,49.12,0.86,233.18,0.68,307.26,1.85,201.73,-60.72,3.809,0.287,3.284,0.244,778.16,26.23,5648.93,22514.27,5.86,0.23,3968.03,96.63,-8686.12,115.13,-23.63,481244.09,6090532.83,1383.61,0.14,31.08,222.61,8.01,0.24,0.05,459,15.24,116.54,proton
1,486008707,1,0,1,40.92,0.36,313.2,0.66,322.38,1.52,229.13,-55.77,1.816,0.125,1.554,0.105,740.94,11.06,5038.04,11467.91,2.85,0.06,-17873.07,51.19,-14407.09,26.44,-36.01,459431.47,6084759.58,1406.45,0.07,82.71,216.27,8.81,0.25,0.05,400,179.28,596.88,proton
